換気機器表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機器番号,,名 称,,,系 統,,,,,,,,,,,仕 / 型 式 番手,,,,様 / 機器風量 静圧 騒音値,,,,,,相,動 力 （50 / 消費電力 操,,Hz） / 作 監視 種別,,付属品・その他,,,,台数,,設置場所 / 階 部 屋 名,,,,,,,,,,,備 考,,,,,
,,,,,,,,,,,,,,,,,,,＃(φ),m3/h,,,Pa,,(dB),P-V,（KW）,始動 / 方式,,,,,,,,,,,,,,,,,,,,（参考型番）,,,,,
SF-P-1,,,送 風 機,,ﾋ,ﾟｯﾄ,,ディスポーザー処理槽室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,#,,11/2x,2,"2,200",,,300,52,3-200,1.15,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,ﾋ,ﾟｯ,ﾄ,ディスポーザー処理槽室,,,,,,,,EF-P-1と連動,BFS-450TUA2,,,,(三菱電機)
SF-B2-1,,,送 風 機,,,B2F,,消火ポンプ室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,300φ,,"1,600",,,300,44.5,3-200,0.54,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,消火ポンプ室,,,,,,,,EF-B2-1と連動,BFS-210TUG2,,,,(三菱電機)
SF-B2-2,,,送 風 機,,,B2F,,ガスボンベ庫,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,300φ,,"1,700",,,300,47,3-200,0.6,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,ガスボンベ庫,,,,,,,,EF-B2-2と連動,BFS-240TUA2,,,,(三菱電機)
SF-B2-3,,,送 風 機,,,B2F,,東電借室・引込開閉器盤室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,＃2,,"2,600",,,300,49,3-200,0.91,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,東電借室・引込開閉器盤室,,,,,,,,EF-B2-3と連動,BFS-300TUA2,,,,(三菱電機)
SF-B2-4,,,送 風 機,,,B2F,,ゴミ置場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,300φ,,"1,700",,,250,59,3-200,0.535,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,ゴミ置場,,,,,,,,EF-B2-4と連動,BFS-210STUA,,,2,(三菱電機)
SF-B2-5,,,送 風 機,,,B2F,,ＭＲ,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,250φ,,,500,,300,55,1-100,0.385,LS A,〇,●,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,ＭＲ,,,,,,,,EF-B2-5と連動,BFS-150SSUA,,,2,(三菱電機)
SF-B2-6,,,送 風 機,,,B2F,,機械式駐車場,,,,,,,,片吸込ｼﾛｯｺﾌｧﾝ (床置型),,,#21/2,,"6,000",,,350,72,3-200,2.2,LS A,〇,△,ｽﾌﾟﾘﾝｸﾞ防振、他一式,,,,,3,,B1F,,機械式駐車FR,,,,,,,,EF-B2-6と連動,21/2SRM4,,,,(エバラ）
SF-B2-7,,,送 風 機,,,B2F,,廊下,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,250φ,,,900,,250,55,1-100,0.385,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B2F,,廊下,,,,,,,,EF-B2-7と連動,BFS-150SSUA,,,2,(三菱電機)
SF-B1-1,,,送 風 機,,,B1F,,EVホール,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,200φ,,,200,,250,50,1-100,0.22,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B1F,,EVホール,,,,,,,,EF-B1-1と連動,BFS-100SSUA,,,2,(三菱電機)
SF-B1-2,,,送 風 機,,,B1F,,備蓄倉庫,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,200φ,,,200,,250,50,1-100,0.22,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,B1F,,備蓄倉庫,,,,,,,,EF-B1-2と連動,BFS-100SSUA,,,2,(三菱電機)
SF-1-1,,,送 風 機,,,1F,,ゴミ置場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,200φ,,,400,,200,50,1-100,0.22,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,1F,,ゴミ置場,,,,,,,,EF-1-1と連動,BFS-100SSUA,,,2,(三菱電機)
SF-1-2,,,送 風 機,,,1F,,駐輪場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,300φ,,"1,500",,,250,59,3-200,0.535,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,1F,,駐輪場,,,,,,,,EF-1-2と連動,BFS-210STUA,,,2,(三菱電機)
SF-11-1,,,送 風 機,,,11F,,給水ポンプ室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,200φ,,,200,,180,44,1-100,0.175,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,11F,,給水ポンプ室,,,,,,,,EF-11-1と連動,BFS-80SSUA2,,,,(三菱電機)
SF-R-1,,,送 風 機,,2,-16,F,共用廊下･ゴミ庫(日中運転,,,,,,,),片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),,,#2,,"4,950",,,350,78,3-200,2.2,LS A,〇,〇,INV､ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,1,,PHF,,屋上機器置場,,,,,,,,EF-R-1と連動,2SRM,4,,,(エバラ）
SF-R-2,,,送 風 機,,2,-16,F,ゴミ庫(夜間運転),,,,,,,,片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),,,#11/2,,"2,620",,,350,72.5,3-200,1.5,LS A,〇,〇,INV､ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,1,,PHF,,屋上機器置場,,,,,,,,EF-R-2と連動,11/2SRM4,,,,(エバラ）
OF-1-1,,,送 風 機,,,1F,,廊下(中央管理前),,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,,,200φ,,,600,,200,50,1-100,0.22,LS A,〇,〇,ｺﾞﾑ防振、他一式,,,,,1,,1F,,廊下(中央管理前),,,,,,,,F-1-1～4と連動,BFS-100SSUA,,,2,(三菱電機)
